payment_id,order_id,scenario,ground_truth_state,amount,method,customer_segment,created_ts,has_settlement,settled_amount,settlement_matches_order
pay_9edbf54e7c7646,order_d0aa639cde5041,clean_failure_soft,VERIFIED_LOST_SOFT,49999,upi,high_value_repeat,2026-08-10T08:11:00,False,,
pay_1d498df17d404a,order_143d69cf8af346,clean_success,SUCCESS_CLEAN,74999,upi,high_value_repeat,2026-08-16T00:01:00,True,74999,True
pay_7909ce65601443,order_9c3eaf391ce84f,clean_success,SUCCESS_CLEAN,999,card,returning,2026-08-05T12:14:00,True,999,True
pay_ba70bddbaab248,order_706fdfa3d51b4c,clean_success,SUCCESS_CLEAN,499,upi,new,2026-08-06T04:35:00,True,499,True
pay_802a2cd35eae40,order_a6d8b927ff0344,late_auth_flip,LATE_AUTH_FLIP,1999,upi,returning,2026-08-10T00:03:00,True,1999,True
pay_f9cd9fb5ff4046,order_a0ce2cb82a1f44,clean_failure_soft,VERIFIED_LOST_SOFT,499,upi,returning,2026-08-18T10:04:00,False,,
pay_96272e9e82e14c,order_ade981aae9ff4a,duplicate_attempt,ALREADY_RECOVERED_VIA_DUPLICATE,499,upi,new,2026-08-02T22:28:00,True,499,True
pay_200f4410b31a45,order_00fc4db1ce9243,clean_success,SUCCESS_CLEAN,199,netbanking,new,2026-08-05T21:52:00,True,199,True
pay_07a26042e73549,order_4c7656c2f0f64b,clean_failure_hard,VERIFIED_LOST_HARD,1499,upi,new,2026-08-04T05:56:00,False,,
pay_0d3fd39085754f,order_395020f032444a,clean_success,SUCCESS_CLEAN,4999,card,high_value_repeat,2026-08-06T08:02:00,True,4999,True
pay_436c47ee98da44,order_d23ccac7b0544e,clean_success,SUCCESS_CLEAN,7499,upi,returning,2026-08-09T18:27:00,True,7499,True
pay_8896a850dff142,order_e331a5a181f64b,clean_failure_soft,VERIFIED_LOST_SOFT,1499,card,new,2026-08-18T09:28:00,False,,
pay_0c922b1d72d146,order_fb198944abf446,clean_success,SUCCESS_CLEAN,299,netbanking,new,2026-08-03T20:02:00,True,299,True
pay_04e96dccfe3042,order_fca5a606bb884e,clean_success,SUCCESS_CLEAN,4999,netbanking,high_value_repeat,2026-08-14T11:27:00,True,4999,True
pay_8463a4eeef2746,order_8adc724d40e24d,clean_failure_soft,VERIFIED_LOST_SOFT,24999,upi,high_value_repeat,2026-08-17T15:29:00,False,,
pay_7d69954fb93d42,order_280c143427004f,clean_failure_soft,VERIFIED_LOST_SOFT,1499,card,new,2026-08-15T15:33:00,False,,
pay_11bddb2b802341,order_9f8fc0fee65845,clean_success,SUCCESS_CLEAN,499,card,new,2026-08-15T00:54:00,True,499,True
pay_8355de853e6949,order_2a6ffb90de8943,clean_failure_soft,VERIFIED_LOST_SOFT,1499,card,new,2026-08-09T06:37:00,False,,
pay_5ba8785797164b,order_05fdae6399604b,late_auth_flip,LATE_AUTH_FLIP,7499,upi,returning,2026-08-12T21:19:00,True,7499,True
pay_a6644e746c484b,order_360ceeb47ddf4b,clean_success,SUCCESS_CLEAN,999,card,new,2026-08-03T18:38:00,True,999,True
pay_2336c8a9fb7d48,order_646069df09984a,late_auth_flip,LATE_AUTH_FLIP,1999,card,returning,2026-08-20T05:35:00,True,1999,True
pay_03194c9e53de40,order_70e9ca8769be4f,clean_failure_soft,VERIFIED_LOST_SOFT,999,upi,new,2026-08-13T05:56:00,False,,
pay_f9d4a704835b48,order_b4ad6324cb9b4a,clean_failure_hard,VERIFIED_LOST_HARD,4999,card,returning,2026-08-13T14:54:00,False,,
pay_5818927fdb7e40,order_2103795093a243,clean_success,SUCCESS_CLEAN,2999,card,returning,2026-08-14T20:34:00,True,2999,True
pay_4891333b416b44,order_e7a33ee453a74c,settlement_mismatch,EXCEPTION_SETTLEMENT_MISMATCH,1999,card,returning,2026-08-20T06:41:00,True,1957.02,False
pay_4a320f20c23542,order_590124fe5dbd42,clean_failure_hard,VERIFIED_LOST_HARD,999,card,returning,2026-08-14T08:12:00,False,,
pay_a632ef5f36c54a,order_6b79b46dc05641,clean_success,SUCCESS_CLEAN,24999,upi,high_value_repeat,2026-08-12T14:57:00,True,24999,True
pay_9ae73d67d23f42,order_ddd985ff3ae34b,clean_success,SUCCESS_CLEAN,999,upi,returning,2026-08-09T10:46:00,True,999,True
pay_1e26c4bd46f347,order_f151dbb838124a,duplicate_attempt,ALREADY_RECOVERED_VIA_DUPLICATE,1999,upi,returning,2026-08-14T22:34:00,True,1999,True
pay_454b2ebb910a4f,order_9432bbffe67946,clean_failure_soft,VERIFIED_LOST_SOFT,4999,upi,returning,2026-08-05T17:20:00,False,,
pay_c05da03b1e4f41,order_3dbb76cd85ca4f,late_auth_flip,LATE_AUTH_FLIP,999,upi,new,2026-08-18T15:03:00,True,999,True
pay_cf225e59a3b141,order_71ec6872be1d40,late_auth_flip,LATE_AUTH_FLIP,7499,card,returning,2026-08-11T13:45:00,True,7499,True
pay_327a3131c5d54e,order_f677b7e1db0d40,clean_failure_soft,VERIFIED_LOST_SOFT,999,upi,returning,2026-08-06T21:52:00,False,,
